Animal.sp,common_name,guild,bodymass,water_dependence,digestion
1,Wildebeest,grazer,163,41.98,ruminant
2,Zebra,grazer,212.5,62.13,nonruminant
3,Thomson's gazelle,grazer,16.2,14.05,ruminant
4,Grant's gazelle,browser,42.5,19.12,ruminant
5,Topi,grazer,109,32.03,ruminant
6,Kongoni,grazer,126.2,36.11,ruminant
7,Impala,mixed,40,31.41,ruminant
8,Waterbuck,grazer,186,59.79,ruminant
9,Warthog,grazer,56.5,59.62,nonruminant
10,Buffalo,grazer,446.6,58.45,ruminant
11,Giraffe,browser,828.4,43.67,ruminant
12,Elephant,mixed,2850,71.85,nonruminant
13,Eland,mixed,344,44.57,ruminant
16,Reedbuck,grazer,48,45.55,ruminant
17,Klipspringer,mixed,13.2,35.66,ruminant
18,Dikdik ,browser,5.17,3.73,ruminant
21,Hippopotamous,grazer,1385,92.35,nonruminant
22,Rhinoceros,browser,1050,77.23,nonruminant
23,Bushbuck,browser,28,52.38,ruminant
